Customer Name,Phone Number,Account Balance,Bank Account Name,Email,Image Url
Mehak Bhatia,8287279871,2300,india,mehak@44gmail.com,D:\\college 5th sem\\Research Methodology\\Face Recognition_screenshot_15.10.2023.png
Benjamin Anderson,001-378-864-4897x12407,502.56,Chambers and Sons,melissa06@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2782.jpg
Michelle Wells,(687)992-9382x21521,5820.72,Gonzalez Inc,jacob89@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2783.jpg
Colleen Ramsey,607-417-0239,6427.89,"Smith, Erickson and Williams",stephanie40@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2784.jpg
Allison Thomas,+1-804-300-0942x786,3339.91,Douglas and Sons,meganwheeler@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2785.jpg
Kristin Hernandez,001-872-333-6312x4311,4391.12,"Miles, Brown and Willis",ianoconnell@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2786.jpg
Kenneth Hale,(418)659-0930,6187.66,Montes-Kelly,jeremycastillo@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2787.jpg
Lisa Anderson,+1-318-818-4429x2364,9103.84,"Sandoval, Galloway and Martin",ykrause@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2788.jpg
Eric Olson,443-440-4845x4294,1651.11,"Robbins, Hammond and Romero",suzanne47@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2789.jpg
Jacqueline Pacheco,954.320.9260x114,5891.73,Gonzalez-Diaz,cory58@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2790.jpg
Adam Becker,(251)907-8492x940,5017.81,Walker-Johnson,romerojoseph@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2791.jpg
Connie Navarro,001-468-776-4820x77209,5062.71,Flores-Brown,ericgonzales@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2792.jpg
Terry Martin,4062058730,4891.3,"Crawford, Morris and Garza",pamela07@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2793.jpg
Laura Thompson,(798)765-1674x940,9223.2,Owens-Taylor,rothstacie@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2794.jpg
Kimberly Sanders,855-956-2379,9213,"Jones, Erickson and Kelly",tnorman@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2795.jpg
William Kelly,+1-265-503-2890x38331,7042.7,"Ferguson, Cardenas and Guerra",danielle29@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2796.jpg
Terri Moody,722.290.1916x299,6987.76,"Martinez, Sutton and Hurley",julietorres@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2797.jpg
Kari Baird,231-506-9173x637,2443.77,"Porter, Wright and Howell",lopezjason@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2798.jpg
Sara Nolan,(985)719-2223x7428,3129.51,Porter-Carter,alvaradoroger@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2799.jpg
Paul Rodriguez,858-569-7550x60688,8216.91,"Burns, Davis and Pittman",wpierce@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2800.jpg
Robert Pope,608-309-1882,3750.89,"Hampton, Thomas and Taylor",tina99@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2801.jpg
Harry Foster,(472)797-9991,6437.63,Wilson-Jones,millerdonald@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2802.jpg
Catherine Jones,882.899.1063,9421.03,Curtis-Johnson,jeffrey12@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2803.jpg
Miranda Coleman,842.675.5837x6388,8709.45,Gonzalez and Sons,maryyoung@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2804.jpg
Mr. Joshua Harvey,7816169085,7088.93,"Smith, Stewart and Gonzalez",austinross@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2805.jpg
Jordan Harris,+1-712-902-1024x3599,1953.54,"Jacobs, Leonard and Hudson",romantimothy@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2806.jpg
Kevin Martinez,960-676-2023x8704,9036.9,Ford-Larson,littlesandra@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2807.jpg
David Hammond,726.327.3222,6323.05,"Freeman, Barber and Garcia",michael51@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2808.jpg
Amy Rodriguez,-5841,9845.99,Roberts LLC,johnsonjordan@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2809.jpg
Crystal Mullins,532.644.6332,8852.55,Silva Ltd,jared93@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2810.jpg
Patricia Jimenez,802-302-4884x38332,6564.14,Johnson Inc,williamsonlee@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2811.jpg
Bernard Davis,-8003,1359,Allison-Acosta,elizabethgarcia@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2812.jpg
John Horton,369-679-5334x708,4727.35,"Christian, Duncan and Knight",jameswhite@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2813.jpg
Pamela Jensen,943.438.2548,3424.85,Yoder-Shea,eric81@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2814.jpg
Jamie Park,542.620.0766,6966.62,"Eaton, Saunders and Willis",rtrujillo@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2815.jpg
James Bean,001-357-377-4564x2811,8784.06,Robinson-Miller,josephjohnson@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2816.jpg
Ronald French,352.832.1514,9031.47,Morgan-Tucker,pamela86@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2817.jpg
Donald Skinner,5835787543,1708.5,Gonzalez-Gamble,maria51@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2818.jpg
Randall Jones,8975008645,3023.62,"Hanna, May and Roy",erik05@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2819.jpg
Melissa Charles,001-592-897-0122x76745,728.15,Cannon Inc,keith33@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2820.jpg
Todd Morrison,(411)727-3922,4350.41,Scott-Mason,bishopsarah@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2821.jpg
Mary Torres,001-280-294-1946,4860.13,Roman Group,katherineanderson@example.net,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2822.jpg
Julia Scott,793-327-7439x427,5216.16,Davis-Kennedy,shawn97@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2823.jpg
Michelle Villa,(534)421-1552x16944,9630.72,"Rhodes, Stanley and Gilbert",reidbrittany@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2824.jpg
Ashley Wright,684.696.2498x3462,9479.11,"Salazar, Rodriguez and Padilla",jessicagarcia@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2825.jpg
Diana Love,001-372-746-4042,7831.12,Turner-Heath,sbennett@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2826.jpg
Chad Rodriguez,717-449-0007x73645,961.15,Robertson PLC,wendy72@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2827.jpg
Amanda Stephenson MD,001-792-213-9461,250.08,"Perkins, Booth and Wilson",sgonzalez@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2828.jpg
Joshua Lang,605-923-1793,8792.6,Sanchez PLC,jennifermartin@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2829.jpg
Angela King,(786)868-7215,5792.61,"Hicks, Boyer and Ward",qwiley@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2830.jpg
Joseph Cobb,001-231-869-4896x8610,4736.71,"Bailey, Walker and Yates",jennifer48@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2831.jpg
Sara Parrish,861-740-0992x1296,4853.39,Lane Group,michael63@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2832.jpg
Justin Garrett,(904)666-0844x035,848.13,"Cox, Thomas and Branch",omurphy@example.com,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2833.jpg
Michael Collins,848-819-3186x6677,6219.45,"Meyer, Schwartz and Smith",james88@example.org,D:\\college 5th sem\\Research Methodology\\Images\\Happy-2834.jpg
